id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
495,BI Developer,Lisbon,Portugal,PrimeIT,"1,001-5,000",IT Services and IT Consulting,2023-05-22,33.0,Hybrid,qlikview,другое
495,BI Developer,Lisbon,Portugal,PrimeIT,"1,001-5,000",IT Services and IT Consulting,2023-05-22,33.0,Hybrid,sql,другое
495,BI Developer,Lisbon,Portugal,PrimeIT,"1,001-5,000",IT Services and IT Consulting,2023-05-22,33.0,Hybrid,ssis,другое
495,BI Developer,Lisbon,Portugal,PrimeIT,"1,001-5,000",IT Services and IT Consulting,2023-05-22,33.0,Hybrid,английский язык,другое
495,BI Developer,Lisbon,Portugal,PrimeIT,"1,001-5,000",IT Services and IT Consulting,2023-05-22,33.0,Hybrid,компьютерная наука,другое
496,Commercial Analyst,Faenza,Italy,Scuderia AlphaTauri F1 Team,"501-1,000",Spectator Sports,2023-05-02,289.0,On-site,английский язык,analyst
496,Commercial Analyst,Faenza,Italy,Scuderia AlphaTauri F1 Team,"501-1,000",Spectator Sports,2023-05-02,289.0,On-site,коммуникация,analyst
497,Reporting Specialist,Tallinn,Estonia,BaltCap,11-50,Venture Capital & Private Equity,2023-05-23,15.0,Hybrid,excel,другое
497,Reporting Specialist,Tallinn,Estonia,BaltCap,11-50,Venture Capital & Private Equity,2023-05-23,15.0,Hybrid,attention to detail,другое
497,Reporting Specialist,Tallinn,Estonia,BaltCap,11-50,Venture Capital & Private Equity,2023-05-23,15.0,Hybrid,data analytics,другое
498,Product Manager,Amsterdam,Netherlands,Spinnin'​ Records,51-200,Music,2023-05-17,115.0,Hybrid,управление продуктами,другое
498,Product Manager,Amsterdam,Netherlands,Spinnin'​ Records,51-200,Music,2023-05-17,115.0,Hybrid,стратегия,другое
499,"IT Support Analyst, Global IT",Farum,Denmark,Danelec,51-200,Logistics & Supply Chain,2023-05-23,12.0,On-site,аналитические навыки,analyst
499,"IT Support Analyst, Global IT",Farum,Denmark,Danelec,51-200,Logistics & Supply Chain,2023-05-23,12.0,On-site,коммуникация,analyst
500,Junior Sales Analyst,Ziano di Fiemme,Italy,La Sportiva,51-200,Sporting Goods Manufacturing,2023-05-19,29.0,On-site, ai,analyst
500,Junior Sales Analyst,Ziano di Fiemme,Italy,La Sportiva,51-200,Sporting Goods Manufacturing,2023-05-19,29.0,On-site,анализ бизнес-данных,analyst
500,Junior Sales Analyst,Ziano di Fiemme,Italy,La Sportiva,51-200,Sporting Goods Manufacturing,2023-05-19,29.0,On-site,microsoft excel,analyst
501,Online Data Analyst,Rethymno,Greece,TELUS International,"10,001+",IT Services and IT Consulting,2023-04-25,41.0,Remote, ai,data analyst
501,Online Data Analyst,Rethymno,Greece,TELUS International,"10,001+",IT Services and IT Consulting,2023-04-25,41.0,Remote,английский язык,data analyst
501,Online Data Analyst,Rethymno,Greece,TELUS International,"10,001+",IT Services and IT Consulting,2023-04-25,41.0,Remote,социальные медиа,data analyst
502,Data Business Analyst (m/f),Luxembourg,Luxembourg,Spuerkeess,"1,001-5,000",Banking,2023-05-22,201.0,On-site,sql,data analyst
502,Data Business Analyst (m/f),Luxembourg,Luxembourg,Spuerkeess,"1,001-5,000",Banking,2023-05-22,201.0,On-site,sharepoint,data analyst
502,Data Business Analyst (m/f),Luxembourg,Luxembourg,Spuerkeess,"1,001-5,000",Banking,2023-05-22,201.0,On-site,microsoft excel,data analyst
503,Infrastructure Analyst,Lyon,France,INTERPOL,"5,001-10,000",Law Enforcement,2023-04-25,31.0,Hybrid,межсетевая защита,analyst
503,Infrastructure Analyst,Lyon,France,INTERPOL,"5,001-10,000",Law Enforcement,2023-04-25,31.0,Hybrid,dhcp,analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,aws,data analyst
